SKU ID,Category,Brand,Product Name,Size,Unnamed: 5,Variants,Distribution Area,Distributor Price (Ctn),Distributor Price (Pcs),Consumer Price (Ctn),Consumer Price (Pcs),Pcs per Ctn,MOQ,Product Picture
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Original,Jabodetabek,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,BBQ,Jabodetabek,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Jagung Manis,Jabodetabek,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Tempe Balado,Jabodetabek,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Original,Jawa Barat,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,BBQ,Jawa Barat,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Jagung Manis,Jawa Barat,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Tempe Balado,Jawa Barat,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Original,Jawa Tengah,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,BBQ,Jawa Tengah,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Jagung Manis,Jawa Tengah,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG001,Snack,Anak Tempe,Keripik Tempe,15 gr,Anak Tempe Keripik Tempe - 15 gr,Tempe Balado,Jawa Tengah,"56,000","1,400","80,000","2,000",40,200,https://drive.google.com/file/d/1EoWVR2XKaqJGLj22dDNYgg_xZTaWsBgi/view?usp=drive_link
FMCG002,Snack,Let'z,Popcorn,20 gr,Let'z Popcorn - 20 gr,Caramel,Jabodetabek,"44,500","1,483","60,000","2,000",30,200,https://drive.google.com/file/d/1Vo8PDkm34UbtcI9AqlpiMErr5CqoJAdP/view?usp=drive_link
FMCG002,Snack,Let'z,Popcorn,20 gr,Let'z Popcorn - 20 gr,Caramel,Jawa Barat,"44,500","1,483","60,000","2,000",30,650,https://drive.google.com/file/d/1Vo8PDkm34UbtcI9AqlpiMErr5CqoJAdP/view?usp=drive_link
FMCG002,Snack,Let'z,Popcorn,20 gr,Let'z Popcorn - 20 gr,Caramel,Jawa Tengah,"44,500","1,483","60,000","2,000",30,"1,300",https://drive.google.com/file/d/1Vo8PDkm34UbtcI9AqlpiMErr5CqoJAdP/view?usp=drive_link
FMCG002,Snack,Let'z,Popcorn,20 gr,Let'z Popcorn - 20 gr,Caramel,Jawa Timur,"44,500","1,483","60,000","2,000",30,"1,300",https://drive.google.com/file/d/1Vo8PDkm34UbtcI9AqlpiMErr5CqoJAdP/view?usp=drive_link
